Opportunity_ID,Account_ID,Sales_Rep_ID,Campaign_ID,Region,Industry,Account_Size,Product_Category,Deal_Size,Discount_%,Probability,Forecast_Category,Created_Date,Close_Date,Sales_Cycle_Days,Activity_Count,Is_Won,Is_Lost,Weighted_Revenue
29,1009,16,7,APAC,Life Sciences,Mid-Market,Consumables,49793,0.08,18.14,Pipeline,2024-11-25,2025-03-24,119,11,0,1,9032.450200000001
30,216,2,3,APAC,Life Sciences,SMB,Instruments,26565,0.25,21.6,Pipeline,2024-07-25,2024-09-04,41,19,0,1,5738.040000000001
31,1033,15,8,Americas,Industrial,SMB,Consumables,10714,0.08,21.6,Pipeline,2024-11-17,2025-01-13,57,4,1,0,2314.224
32,1468,23,7,APAC,Industrial,Mid-Market,Services,83329,0.08,21.6,Pipeline,2023-06-26,2023-09-11,77,12,0,1,17999.064000000002
33,1370,11,7,APAC,Industrial,SMB,Services,20382,0.24,21.6,Pipeline,2025-07-03,2025-09-03,62,18,0,1,4402.512000000001
34,362,13,4,Americas,Environmental,Mid-Market,Software,43453,0.18,12.6,Pipeline,2025-07-10,2025-10-11,93,6,0,1,5475.078
35,1363,11,6,APAC,Environmental,SMB,Services,43448,0.07,18.0,Pipeline,2024-06-05,2024-07-05,30,7,0,1,7820.639999999999
36,138,5,9,Americas,Diagnostics,Enterprise,Consumables,85501,0.32,16.63,Pipeline,2023-06-07,2023-10-06,121,15,0,1,14218.8163
37,1154,4,6,Americas,Diagnostics,Mid-Market,Consumables,62023,0.28,28.51,Pipeline,2025-12-05,2026-04-27,143,16,0,1,17682.7573
38,824,25,14,APAC,Environmental,Enterprise,Services,340507,0.23,18.0,Pipeline,2025-05-15,2025-11-28,197,10,1,0,61291.259999999995
39,1191,3,13,Americas,Environmental,Mid-Market,Services,136779,0.18,21.6,Pipeline,2023-01-10,2023-05-08,118,17,1,0,29544.264000000003
40,13,22,1,EMEA,Industrial,Mid-Market,Software,138111,0.11,25.92,Pipeline,2025-11-13,2026-01-18,66,14,1,0,35798.37120000001
41,1264,13,3,Americas,Life Sciences,Mid-Market,Services,112152,0.09,12.6,Pipeline,2024-02-05,2024-05-10,95,4,0,1,14131.152
42,517,16,4,APAC,Diagnostics,SMB,Software,11525,0.23,12.6,Pipeline,2023-06-03,2023-08-17,75,6,1,0,1452.15
43,568,13,13,Americas,Pharma,SMB,Instruments,42721,0.07,15.12,Pipeline,2024-12-23,2025-03-19,86,9,0,1,6459.4152
44,363,25,2,APAC,Environmental,Mid-Market,Software,122720,0.13,25.92,Pipeline,2023-11-04,2024-03-02,119,11,0,1,31809.024000000005
45,1234,3,4,Americas,Environmental,Enterprise,Software,135253,0.11,21.6,Pipeline,2025-01-02,2025-07-17,196,19,0,1,29214.648000000005
46,674,23,2,APAC,Life Sciences,SMB,Software,23077,0.13,21.6,Pipeline,2024-12-04,2025-02-07,65,8,0,1,4984.6320000000005
47,849,3,6,Americas,Industrial,SMB,Services,30797,0.25,18.0,Pipeline,2025-01-24,2025-04-23,89,10,0,1,5543.46
48,647,17,1,Americas,Life Sciences,SMB,Consumables,43446,0.11,18.0,Pipeline,2024-04-01,2024-06-29,89,6,1,0,7820.28
49,1017,4,3,Americas,Industrial,Mid-Market,Instruments,142124,0.08,21.6,Pipeline,2024-11-24,2025-01-23,60,8,0,1,30698.784000000003
50,442,15,10,Americas,Industrial,SMB,Instruments,16007,0.21,21.6,Pipeline,2024-08-10,2024-09-09,30,17,1,0,3457.5120000000006
51,205,4,5,Americas,Life Sciences,Mid-Market,Instruments,41523,0.28,23.76,Pipeline,2025-08-01,2025-10-10,70,12,1,0,9865.8648
52,491,24,10,APAC,Environmental,Enterprise,Software,186238,0.1,21.6,Pipeline,2024-01-18,2024-06-26,160,19,1,0,40227.408
53,985,6,13,APAC,Life Sciences,Mid-Market,Instruments,130532,0.09,21.6,Pipeline,2023-06-06,2023-08-31,86,11,1,0,28194.912000000004
54,686,10,13,Americas,Environmental,Mid-Market,Services,106842,0.08,23.4,Pipeline,2024-06-25,2024-09-11,78,8,0,1,25001.028
55,1192,4,11,Americas,Life Sciences,SMB,Software,5930,0.32,23.76,Pipeline,2023-05-11,2023-07-02,52,19,0,1,1408.968
56,801,4,6,Americas,Diagnostics,Mid-Market,Instruments,91685,0.18,21.6,Pipeline,2023-04-13,2023-06-25,73,14,1,0,19803.960000000003
57,1276,2,14,APAC,Environmental,SMB,Services,43035,0.28,19.8,Pipeline,2025-06-06,2025-08-26,81,9,0,1,8520.93
58,1304,14,11,EMEA,Life Sciences,SMB,Services,25333,0.21,28.08,Pipeline,2023-05-11,2023-07-26,76,16,1,0,7113.5064
59,1394,8,6,EMEA,Industrial,SMB,Instruments,10249,0.34,23.76,Pipeline,2023-11-19,2024-02-14,87,6,0,1,2435.1624
60,691,22,2,EMEA,Pharma,SMB,Software,40317,0.1,18.0,Pipeline,2023-07-05,2023-09-21,78,7,0,1,7257.0599999999995
61,793,14,1,EMEA,Life Sciences,SMB,Instruments,27177,0.06,23.4,Pipeline,2023-06-29,2023-09-12,75,9,1,0,6359.418
62,299,15,11,Americas,Environmental,SMB,Software,48210,0.34,23.76,Pipeline,2025-07-05,2025-08-30,56,14,0,1,11454.696
63,1449,18,3,EMEA,Life Sciences,Mid-Market,Services,34768,0.06,12.6,Pipeline,2023-02-08,2023-06-07,119,10,1,0,4380.768
64,1026,13,5,Americas,Industrial,Mid-Market,Software,83852,0.22,15.12,Pipeline,2024-04-25,2024-06-30,66,15,0,1,12678.4224
65,737,20,5,EMEA,Pharma,Enterprise,Instruments,244754,0.26,30.89,Pipeline,2024-01-08,2024-05-14,127,13,1,0,75604.51060000001
66,148,23,11,APAC,Diagnostics,SMB,Instruments,22179,0.23,21.6,Pipeline,2024-02-18,2024-04-06,48,11,0,1,4790.664000000001
67,315,3,5,Americas,Diagnostics,SMB,Services,40555,0.34,19.8,Pipeline,2025-06-22,2025-08-20,59,3,0,1,8029.89
68,978,2,6,APAC,Diagnostics,Mid-Market,Services,142957,0.23,18.0,Pipeline,2023-07-18,2023-09-21,65,7,0,1,25732.26
69,954,5,4,Americas,Industrial,Enterprise,Consumables,494340,0.27,16.63,Pipeline,2024-03-14,2024-10-17,217,12,0,1,82208.742
70,414,5,14,Americas,Life Sciences,Mid-Market,Instruments,56618,0.08,15.12,Pipeline,2023-12-09,2024-03-31,113,2,0,1,8560.6416
71,18,11,9,APAC,Industrial,Mid-Market,Consumables,38035,0.34,19.8,Pipeline,2023-04-06,2023-08-23,139,4,0,1,7530.93
72,613,3,11,Americas,Industrial,Enterprise,Services,349739,0.3,23.76,Pipeline,2023-09-16,2024-02-17,154,14,0,1,83097.98640000001
73,797,12,5,APAC,Pharma,Enterprise,Instruments,371605,0.22,33.7,Pipeline,2023-12-18,2024-05-14,148,11,0,1,125230.88500000001
74,1146,6,2,APAC,Industrial,Mid-Market,Instruments,147154,0.07,18.0,Pipeline,2024-08-24,2024-11-11,79,5,0,1,26487.719999999998
75,1141,20,12,EMEA,Pharma,Enterprise,Software,431995,0.09,28.08,Pipeline,2025-02-01,2025-08-31,211,17,0,1,121304.196
76,83,13,6,Americas,Life Sciences,SMB,Services,16013,0.23,15.12,Pipeline,2023-11-15,2023-12-19,34,7,0,1,2421.1656
77,561,18,4,EMEA,Industrial,Mid-Market,Consumables,134899,0.23,15.12,Pipeline,2024-02-20,2024-04-24,64,11,0,1,20396.7288
78,919,11,8,APAC,Industrial,Mid-Market,Services,97177,0.24,21.6,Pipeline,2024-05-15,2024-09-30,138,16,0,1,20990.232000000004
79,166,11,11,APAC,Environmental,SMB,Consumables,45765,0.31,23.76,Pipeline,2024-05-21,2024-07-31,71,12,0,1,10873.764000000001
80,226,17,15,Americas,Pharma,Mid-Market,Consumables,120624,0.16,18.0,Pipeline,2025-05-18,2025-09-21,126,2,0,1,21712.32
81,70,14,10,EMEA,Environmental,Mid-Market,Instruments,60357,0.14,33.7,Pipeline,2024-11-19,2025-04-17,149,12,0,1,20340.309
82,287,10,12,Americas,Pharma,Mid-Market,Software,112422,0.28,25.74,Pipeline,2025-03-10,2025-07-19,131,8,0,1,28937.422799999997
83,111,8,15,EMEA,Pharma,Mid-Market,Consumables,100599,0.21,21.6,Pipeline,2025-04-27,2025-08-26,121,18,0,1,21729.384000000002
84,542,4,8,Americas,Life Sciences,SMB,Instruments,18922,0.17,18.0,Pipeline,2023-07-17,2023-10-01,76,10,0,1,3405.96
85,1067,10,10,Americas,Diagnostics,SMB,Consumables,39051,0.34,25.74,Pipeline,2024-03-04,2024-04-16,43,5,0,1,10051.727399999998
86,477,23,10,APAC,Pharma,Enterprise,Consumables,449920,0.34,23.76,Pipeline,2023-10-08,2024-03-05,149,3,0,1,106900.992
87,715,15,8,Americas,Life Sciences,Enterprise,Software,473866,0.34,19.8,Pipeline,2025-09-25,2026-03-09,165,3,0,1,93825.46800000001
88,438,17,14,Americas,Environmental,SMB,Consumables,21493,0.11,21.6,Pipeline,2025-06-14,2025-08-06,53,12,0,1,4642.488
89,579,15,5,Americas,Pharma,Mid-Market,Instruments,102297,0.18,18.0,Pipeline,2025-04-28,2025-09-17,142,9,1,0,18413.46
90,313,12,15,APAC,Diagnostics,Mid-Market,Consumables,100672,0.21,23.4,Pipeline,2024-07-26,2024-11-24,121,7,0,1,23557.248
91,1268,21,9,Americas,Life Sciences,SMB,Services,36276,0.31,16.63,Pipeline,2025-12-18,,67,5,0,1,6032.6988
92,487,4,13,Americas,Pharma,SMB,Instruments,37681,0.05,21.6,Pipeline,2024-02-29,2024-05-06,67,14,0,1,8139.096000000001
93,448,25,5,APAC,Industrial,Mid-Market,Software,41756,0.32,19.8,Pipeline,2024-09-19,2025-01-03,106,7,1,0,8267.688
94,25,18,1,EMEA,Life Sciences,Mid-Market,Consumables,61517,0.33,16.63,Pipeline,2024-08-28,2024-12-09,103,16,0,1,10230.2771
95,1028,18,4,EMEA,Environmental,Mid-Market,Services,55731,0.09,15.12,Pipeline,2025-12-23,2026-03-01,68,10,0,1,8426.5272
96,513,6,2,APAC,Life Sciences,Mid-Market,Software,43171,0.3,23.76,Pipeline,2024-07-28,2024-10-27,91,15,1,0,10257.4296
97,132,19,14,EMEA,Diagnostics,Enterprise,Services,278906,0.22,28.08,Pipeline,2023-03-15,2023-09-29,198,12,0,1,78316.8048
98,522,24,5,APAC,Environmental,SMB,Services,35101,0.19,18.0,Pipeline,2025-02-26,2025-04-16,49,5,0,1,6318.179999999999
99,1356,25,15,APAC,Diagnostics,SMB,Consumables,25706,0.26,19.8,Pipeline,2025-04-12,2025-06-20,69,5,1,0,5089.7880000000005
100,412,9,12,EMEA,Environmental,SMB,Instruments,41780,0.17,12.6,Pipeline,2023-09-18,2023-12-15,88,9,1,0,5264.28
101,143,24,1,APAC,Industrial,SMB,Software,45735,0.28,23.76,Pipeline,2024-12-24,2025-03-20,86,9,0,1,10866.636
102,420,8,8,EMEA,Environmental,Mid-Market,Services,109021,0.07,21.6,Pipeline,2023-08-04,2023-10-09,66,14,0,1,23548.536000000004
103,1281,19,8,EMEA,Pharma,SMB,Instruments,41072,0.12,23.4,Pipeline,2025-04-17,2025-06-18,62,4,1,0,9610.848
104,259,6,15,APAC,Industrial,SMB,Consumables,26891,0.17,25.92,Pipeline,2024-12-25,2025-02-05,42,12,0,1,6970.147200000001
105,683,23,3,APAC,Environmental,Enterprise,Instruments,460298,0.32,19.8,Pipeline,2023-02-04,,204,10,0,1,91139.004
106,134,10,15,Americas,Life Sciences,Mid-Market,Instruments,72862,0.07,28.08,Pipeline,2025-12-07,2026-03-30,113,7,0,1,20459.6496
107,915,17,15,Americas,Industrial,Enterprise,Consumables,482545,0.08,21.6,Pipeline,2023-05-14,2023-10-09,148,13,1,0,104229.72000000002
108,1294,18,4,EMEA,Pharma,Mid-Market,Consumables,75160,0.23,15.12,Pipeline,2023-11-14,2024-01-31,78,7,0,1,11364.192000000001
109,1193,3,1,Americas,Industrial,Enterprise,Software,280479,0.34,28.51,Pipeline,2024-12-20,2025-04-22,123,11,0,1,79964.5629
110,1268,7,14,Americas,Life Sciences,SMB,Services,39982,0.33,16.63,Pipeline,2024-11-18,2025-01-03,46,4,0,1,6649.0066
111,732,2,1,APAC,Life Sciences,Mid-Market,Consumables,38085,0.12,25.92,Pipeline,2023-12-04,2024-03-26,113,14,0,1,9871.632000000001
112,677,16,11,APAC,Industrial,SMB,Instruments,32237,0.17,15.12,Pipeline,2023-05-31,2023-07-12,42,19,0,1,4874.2344
113,224,8,2,EMEA,Environmental,Mid-Market,Instruments,30527,0.2,21.6,Pipeline,2023-08-10,2023-10-28,79,18,0,1,6593.832
114,1076,20,9,EMEA,Environmental,SMB,Software,5813,0.07,23.4,Pipeline,2024-06-22,2024-09-10,80,6,1,0,1360.242
115,75,21,10,Americas,Life Sciences,SMB,Software,15622,0.17,12.6,Pipeline,2025-07-16,2025-08-15,30,3,1,0,1968.372
116,1412,20,4,EMEA,Industrial,Mid-Market,Software,142962,0.25,23.4,Pipeline,2024-09-05,2024-12-27,113,5,0,1,33453.108
117,571,23,9,APAC,Life Sciences,Enterprise,Consumables,194459,0.06,21.6,Pipeline,2023-12-04,2024-07-30,239,2,0,1,42003.14400000001
118,958,23,6,APAC,Environmental,Enterprise,Consumables,380278,0.17,25.92,Pipeline,2024-10-21,2025-05-27,218,19,0,1,98568.05760000001
119,682,17,15,Americas,Life Sciences,Mid-Market,Services,95627,0.11,25.92,Pipeline,2023-10-10,2024-01-11,93,14,0,1,24786.518400000004
120,194,7,3,Americas,Industrial,Mid-Market,Services,128072,0.08,12.6,Pipeline,2024-08-05,2024-10-23,79,7,1,0,16137.072
121,515,11,4,APAC,Pharma,Mid-Market,Services,55989,0.34,23.76,Pipeline,2023-09-06,2023-12-23,108,16,0,1,13302.9864
122,1395,21,2,Americas,Diagnostics,Enterprise,Software,347925,0.29,16.63,Pipeline,2023-03-18,2023-11-06,233,14,0,1,57859.9275
123,1112,19,12,EMEA,Life Sciences,SMB,Instruments,18165,0.24,23.4,Pipeline,2023-04-15,2023-07-13,89,2,0,1,4250.61
124,981,18,13,EMEA,Diagnostics,Mid-Market,Services,128171,0.3,13.86,Pipeline,2024-04-27,2024-09-17,143,7,0,1,17764.5006
125,590,3,11,Americas,Pharma,Enterprise,Services,199998,0.06,21.6,Pipeline,2024-04-08,2024-08-21,135,19,1,0,43199.56800000001
126,1045,11,1,APAC,Pharma,SMB,Software,19463,0.19,18.0,Pipeline,2024-07-13,2024-09-01,50,3,0,1,3503.3399999999997
127,673,1,11,APAC,Pharma,SMB,Software,49986,0.24,21.6,Pipeline,2025-02-02,2025-03-06,32,15,1,0,10796.976
128,949,1,15,APAC,Pharma,Mid-Market,Services,50351,0.13,21.6,Pipeline,2023-10-13,2023-12-30,78,10,0,1,10875.816
129,30,21,9,Americas,Diagnostics,Mid-Market,Software,41573,0.13,12.6,Pipeline,2024-09-30,2025-01-24,116,3,0,1,5238.198
130,754,1,2,APAC,Diagnostics,SMB,Instruments,28106,0.18,18.0,Pipeline,2023-04-23,2023-06-28,66,2,0,1,5059.08
131,241,16,2,APAC,Life Sciences,Mid-Market,Software,31861,0.07,18.14,Pipeline,2024-10-16,2025-01-19,95,19,0,1,5779.5854
132,437,14,4,EMEA,Life Sciences,Mid-Market,Services,118692,0.32,25.74,Pipeline,2023-08-21,2023-11-11,82,4,1,0,30551.320799999994
133,511,4,9,Americas,Diagnostics,Enterprise,Services,223280,0.16,18.0,Pipeline,2025-06-23,2026-02-16,238,7,0,1,40190.4
134,777,19,15,EMEA,Life Sciences,Mid-Market,Services,113905,0.17,28.08,Pipeline,2025-10-25,2026-03-07,133,2,0,1,31984.523999999998
135,329,10,7,Americas,Industrial,Mid-Market,Software,113211,0.29,25.74,Pipeline,2024-03-23,2024-05-26,64,4,0,1,29140.511399999996
136,1395,19,11,EMEA,Diagnostics,Enterprise,Software,289481,0.15,33.7,Pipeline,2024-12-18,2025-08-02,227,15,0,1,97555.09700000001
137,488,2,7,APAC,Diagnostics,Mid-Market,Software,80235,0.18,21.6,Pipeline,2023-07-13,2023-11-28,138,11,0,1,17330.760000000002
138,451,16,5,APAC,Diagnostics,Mid-Market,Software,53974,0.16,15.12,Pipeline,2025-09-05,2026-01-12,129,19,0,1,8160.8688
139,661,9,2,EMEA,Industrial,Enterprise,Software,288458,0.25,15.12,Pipeline,2024-02-15,2024-09-28,226,12,0,1,43614.8496
140,1347,7,8,Americas,Pharma,Enterprise,Services,406926,0.09,15.12,Pipeline,2024-09-22,2025-01-24,124,12,1,0,61527.2112
141,246,8,4,EMEA,Diagnostics,SMB,Consumables,15537,0.29,23.76,Pipeline,2023-04-01,2023-05-09,38,19,1,0,3691.5912000000003
142,327,20,2,EMEA,Diagnostics,SMB,Software,7954,0.22,28.08,Pipeline,2023-08-21,2023-11-16,87,11,0,1,2233.4832
143,1033,19,5,EMEA,Industrial,SMB,Consumables,8087,0.22,28.08,Pipeline,2025-11-13,2025-12-24,41,8,0,1,2270.8296
144,554,12,14,APAC,Industrial,Enterprise,Software,305445,0.21,28.08,Pipeline,2025-03-12,2025-08-04,145,11,1,0,85768.95599999999
145,1062,18,5,EMEA,Life Sciences,Enterprise,Consumables,499039,0.35,16.63,Pipeline,2024-08-30,2025-01-02,125,18,0,1,82990.1857
146,1456,17,5,Americas,Diagnostics,Mid-Market,Software,116965,0.32,19.8,Pipeline,2024-08-17,2025-01-01,137,7,0,1,23159.07
147,185,23,6,APAC,Industrial,SMB,Services,36028,0.29,23.76,Pipeline,2024-05-26,2024-07-11,46,18,1,0,8560.2528
148,976,11,8,APAC,Industrial,SMB,Consumables,6778,0.23,18.0,Pipeline,2025-05-23,2025-07-22,60,4,1,0,1220.04
149,713,12,9,APAC,Diagnostics,Mid-Market,Instruments,122550,0.3,30.89,Pipeline,2024-11-21,2025-02-22,93,3,0,1,37855.695
150,407,14,14,EMEA,Environmental,Mid-Market,Instruments,75714,0.19,28.08,Pipeline,2025-07-21,2025-09-23,64,14,0,1,21260.4912
151,261,4,4,Americas,Environmental,Mid-Market,Instruments,65155,0.12,21.6,Pipeline,2025-09-26,2025-11-26,61,17,0,1,14073.480000000001
152,1252,25,8,APAC,Industrial,SMB,Instruments,26685,0.13,18.0,Pipeline,2024-07-21,2024-08-21,31,9,0,1,4803.3
153,1323,7,15,Americas,Environmental,SMB,Instruments,15407,0.13,12.6,Pipeline,2024-01-01,2024-03-08,67,4,0,1,1941.282
154,741,13,13,Americas,Life Sciences,Enterprise,Software,380673,0.05,15.12,Pipeline,2025-11-05,2026-05-12,188,4,0,1,57557.7576
155,1254,12,1,APAC,Pharma,SMB,Consumables,6054,0.14,28.08,Pipeline,2023-09-14,2023-12-05,82,12,0,1,1699.9632
156,1049,15,14,Americas,Pharma,Mid-Market,Services,49797,0.31,23.76,Pipeline,2024-03-10,2024-06-09,91,19,0,1,11831.7672
157,941,14,1,EMEA,Industrial,Mid-Market,Services,125953,0.22,23.4,Pipeline,2025-04-09,2025-07-28,110,3,1,0,29473.001999999997
158,481,14,11,EMEA,Environmental,Enterprise,Services,281033,0.05,23.4,Pipeline,2024-01-04,2024-07-19,197,10,0,1,65761.722
159,77,8,4,EMEA,Industrial,Mid-Market,Software,73760,0.18,18.0,Pipeline,2023-07-11,2023-09-09,60,9,0,1,13276.8
160,1003,12,6,APAC,Environmental,SMB,Software,38168,0.24,23.4,Pipeline,2024-02-12,2024-04-04,52,7,0,1,8931.312
161,1400,14,15,EMEA,Diagnostics,Enterprise,Consumables,199012,0.26,25.74,Pipeline,2024-04-25,2024-09-09,137,3,0,1,51225.68879999999
162,1466,16,9,APAC,Life Sciences,SMB,Software,36442,0.1,15.12,Pipeline,2023-12-14,2024-02-20,68,4,0,1,5510.0304
163,784,12,14,APAC,Pharma,Mid-Market,Software,31695,0.09,28.08,Pipeline,2023-08-25,2024-01-02,130,13,1,0,8899.956
164,188,15,5,Americas,Diagnostics,SMB,Consumables,10707,0.09,18.0,Pipeline,2024-03-29,2024-06-02,65,8,0,1,1927.26
165,98,22,15,EMEA,Industrial,SMB,Services,33623,0.29,19.8,Pipeline,2025-08-05,2025-11-02,89,7,0,1,6657.354
166,1378,10,13,Americas,Industrial,SMB,Software,34390,0.29,25.74,Pipeline,2024-02-29,2024-04-29,60,3,1,0,8851.985999999999
167,975,20,5,EMEA,Pharma,SMB,Services,20586,0.26,25.74,Pipeline,2023-02-05,2023-04-03,57,7,0,1,5298.836399999999
168,439,18,5,EMEA,Industrial,SMB,Software,8007,0.11,12.6,Pipeline,2024-04-10,2024-05-10,30,3,0,1,1008.8820000000001
169,428,19,1,EMEA,Environmental,Mid-Market,Instruments,53587,0.29,25.74,Pipeline,2024-07-02,2024-11-02,123,3,1,0,13793.293799999998
170,1318,9,1,EMEA,Pharma,Enterprise,Services,311047,0.22,12.6,Pipeline,2024-08-10,2025-02-02,176,2,0,1,39191.922
171,501,7,12,Americas,Pharma,Enterprise,Software,347998,0.25,18.14,Pipeline,2023-11-30,2024-07-11,224,15,1,0,63126.8372
172,1280,12,6,APAC,Pharma,Enterprise,Software,193494,0.21,28.08,Pipeline,2025-10-01,2026-03-28,178,3,0,1,54333.1152
173,442,9,12,EMEA,Industrial,SMB,Services,45648,0.29,16.63,Pipeline,2025-04-17,2025-05-27,40,12,0,1,7591.2624000000005
174,1232,13,2,Americas,Pharma,Mid-Market,Services,40255,0.22,12.6,Pipeline,2025-02-16,2025-06-12,116,10,0,1,5072.13
175,707,12,4,APAC,Diagnostics,SMB,Services,14216,0.08,28.08,Pipeline,2025-08-14,2025-11-11,89,14,0,1,3991.8528
176,570,22,7,EMEA,Environmental,Mid-Market,Services,91405,0.32,19.8,Pipeline,2023-03-13,2023-06-20,99,10,0,1,18098.190000000002
177,950,25,15,APAC,Diagnostics,SMB,Software,33249,0.3,23.76,Pipeline,2025-11-27,2026-01-17,51,10,1,0,7899.9624
178,47,22,8,EMEA,Environmental,SMB,Services,45882,0.22,18.0,Pipeline,2024-04-06,2024-05-29,53,3,0,1,8258.76
179,176,4,3,Americas,Industrial,Enterprise,Services,92098,0.2,21.6,Pipeline,2023-06-12,2023-12-04,175,18,1,0,19893.168
180,439,23,13,APAC,Industrial,SMB,Services,42105,0.25,18.0,Pipeline,2025-02-12,2025-04-05,52,8,0,1,7578.9
181,597,13,12,Americas,Environmental,Enterprise,Services,464375,0.09,18.14,Pipeline,2023-10-04,2024-05-29,238,12,0,1,84237.625
182,912,8,13,EMEA,Life Sciences,Mid-Market,Instruments,130207,0.16,25.92,Pipeline,2023-12-05,2024-03-31,117,16,0,1,33749.65440000001
183,325,15,4,Americas,Life Sciences,SMB,Software,32517,0.14,18.0,Pipeline,2023-02-27,2023-04-25,57,10,0,1,5853.0599999999995
184,1292,16,10,APAC,Pharma,Enterprise,Software,383766,0.15,15.12,Pipeline,2024-11-29,2025-07-01,214,10,1,0,58025.419200000004
185,1443,11,8,APAC,Diagnostics,Enterprise,Instruments,177060,0.14,21.6,Pipeline,2024-11-04,2025-05-17,194,4,0,1,38244.96000000001
186,634,4,12,Americas,Environmental,Mid-Market,Services,78795,0.32,23.76,Pipeline,2024-06-14,2024-11-09,148,18,0,1,18721.692
187,600,24,10,APAC,Diagnostics,Mid-Market,Consumables,134412,0.12,18.0,Pipeline,2023-08-18,2023-11-26,100,3,1,0,24194.16
188,155,22,15,EMEA,Environmental,Mid-Market,Services,138313,0.08,18.0,Pipeline,2025-01-08,2025-03-19,70,3,0,1,24896.34
